sample_id,image_filename,simulation_time,normalized_error,steering_correction,steering_target,left_speed,right_speed,line_detected,contour_area
38,frame_000038.png,1.2160,0.018750,0.002752,0.001835,1.202752,1.197248,1,10988.00
39,frame_000039.png,1.2480,0.012500,-0.012956,-0.008637,1.187044,1.212956,1,10988.00
40,frame_000040.png,1.2800,0.006250,-0.027549,-0.018366,1.172451,1.227549,1,10982.50
41,frame_000041.png,1.3120,0.006250,-0.017849,-0.011899,1.182151,1.217849,1,10983.00
42,frame_000042.png,1.3440,0.000000,-0.034031,-0.022688,1.165969,1.234031,1,10976.50
43,frame_000043.png,1.3760,0.000000,-0.025524,-0.017016,1.174476,1.225524,1,10975.00
44,frame_000044.png,1.4080,-0.006250,-0.042600,-0.028400,1.157400,1.242600,1,10977.50
45,frame_000045.png,1.4400,-0.006250,-0.034762,-0.023175,1.165238,1.234762,1,10974.00
46,frame_000046.png,1.4720,-0.012500,-0.052341,-0.034894,1.147659,1.252341,1,10974.50
47,frame_000047.png,1.5040,-0.012500,-0.044881,-0.029921,1.155119,1.244881,1,10970.50
48,frame_000048.png,1.5360,-0.012500,-0.039286,-0.026190,1.160714,1.239286,1,10966.00
49,frame_000049.png,1.5680,-0.018750,-0.058546,-0.039031,1.141454,1.258546,1,10964.00
50,frame_000050.png,1.6000,-0.018750,-0.052347,-0.034898,1.147653,1.252347,1,10957.00
51,frame_000051.png,1.6320,-0.018750,-0.047698,-0.031799,1.152302,1.247698,1,10953.50
52,frame_000052.png,1.6640,-0.025000,-0.067668,-0.045112,1.132332,1.267668,1,10947.00
53,frame_000053.png,1.6960,-0.025000,-0.062001,-0.041334,1.137999,1.262001,1,10939.00
54,frame_000054.png,1.7280,-0.025000,-0.057751,-0.038500,1.142249,1.257751,1,10933.00
55,frame_000055.png,1.7600,-0.025000,-0.054563,-0.036375,1.145437,1.254563,1,10922.50
56,frame_000056.png,1.7920,-0.031250,-0.075629,-0.050420,1.124371,1.275629,1,10944.00
57,frame_000057.png,1.8240,-0.031250,-0.070784,-0.047190,1.129216,1.270784,1,10894.00
58,frame_000058.png,1.8560,-0.031250,-0.067151,-0.044767,1.132849,1.267151,1,10907.00
59,frame_000059.png,1.8880,-0.031250,-0.064426,-0.042950,1.135574,1.264426,1,10909.50
60,frame_000060.png,1.9200,-0.031250,-0.062382,-0.041588,1.137618,1.262382,1,10908.50
61,frame_000061.png,1.9520,-0.037500,-0.084306,-0.056204,1.115694,1.284306,1,10911.00
62,frame_000062.png,1.9840,-0.037500,-0.080104,-0.053403,1.119896,1.280104,1,10915.50
