sample_id,image_filename,simulation_time,normalized_error,steering_correction,steering_target,left_speed,right_speed,line_detected,contour_area
28,frame_000028.png,0.8960,0.143750,0.165279,0.110186,1.365279,1.034721,1,11604.50
29,frame_000029.png,0.9280,0.131250,0.141733,0.094489,1.341733,1.058267,1,11628.50
30,frame_000030.png,0.9600,0.118750,0.118448,0.078965,1.318448,1.081552,1,11655.00
31,frame_000031.png,0.9920,0.112500,0.118817,0.079211,1.318817,1.081183,1,11668.00
32,frame_000032.png,1.0240,0.100000,0.092823,0.061882,1.292823,1.107177,1,11689.00
33,frame_000033.png,1.0560,0.093750,0.091160,0.060774,1.291160,1.108840,1,11706.50
34,frame_000034.png,1.0880,0.087500,0.087101,0.058067,1.287101,1.112899,1,11719.50
35,frame_000035.png,1.1200,0.075000,0.057787,0.038524,1.257787,1.142213,1,11739.50
36,frame_000036.png,1.1520,0.068750,0.053633,0.035755,1.253633,1.146367,1,11745.00
37,frame_000037.png,1.1840,0.062500,0.047705,0.031803,1.247705,1.152295,1,11760.50
38,frame_000038.png,1.2160,0.056250,0.040447,0.026965,1.240447,1.159553,1,11774.50
39,frame_000039.png,1.2480,0.043750,0.008734,0.005822,1.208734,1.191266,1,11780.00
40,frame_000040.png,1.2800,0.037500,0.002781,0.001854,1.202781,1.197219,1,11787.50
41,frame_000041.png,1.3120,0.031250,-0.004497,-0.002998,1.195503,1.204497,1,11793.00
42,frame_000042.png,1.3440,0.025000,-0.012767,-0.008511,1.187233,1.212767,1,11793.00
43,frame_000043.png,1.3760,0.025000,0.001675,0.001117,1.201675,1.198325,1,11800.50
44,frame_000044.png,1.4080,0.018750,-0.010951,-0.007301,1.189049,1.210951,1,11806.00
45,frame_000045.png,1.4400,0.012500,-0.023233,-0.015488,1.176767,1.223233,1,11807.50
46,frame_000046.png,1.4720,0.006250,-0.035257,-0.023504,1.164743,1.235257,1,11812.00
47,frame_000047.png,1.5040,0.000000,-0.047087,-0.031391,1.152913,1.247087,1,11806.00
48,frame_000048.png,1.5360,-0.006250,-0.058772,-0.039182,1.141228,1.258772,1,11801.00
49,frame_000049.png,1.5680,-0.006250,-0.046892,-0.031261,1.153108,1.246892,1,11794.50
50,frame_000050.png,1.6000,-0.012500,-0.061438,-0.040959,1.138562,1.261438,1,11790.00
51,frame_000051.png,1.6320,-0.018750,-0.075161,-0.050107,1.124839,1.275161,1,11777.50
52,frame_000052.png,1.6640,-0.018750,-0.064808,-0.043205,1.135192,1.264808,1,11764.50
53,frame_000053.png,1.6960,-0.025000,-0.080501,-0.053667,1.119499,1.280501,1,11754.50
54,frame_000054.png,1.7280,-0.025000,-0.071625,-0.047750,1.128375,1.271625,1,11734.00
55,frame_000055.png,1.7600,-0.031250,-0.088426,-0.058951,1.111574,1.288426,1,11727.50
56,frame_000056.png,1.7920,-0.031250,-0.080382,-0.053588,1.119618,1.280382,1,11714.00
57,frame_000057.png,1.8240,-0.037500,-0.097806,-0.065204,1.102194,1.297806,1,11704.50
58,frame_000058.png,1.8560,-0.037500,-0.090230,-0.060153,1.109770,1.290230,1,11692.50
59,frame_000059.png,1.8880,-0.043750,-0.108004,-0.072003,1.091996,1.308004,1,11677.50
60,frame_000060.png,1.9200,-0.043750,-0.100691,-0.067127,1.099309,1.300691,1,11668.00
61,frame_000061.png,1.9520,-0.043750,-0.095205,-0.063470,1.104795,1.295205,1,11661.50
62,frame_000062.png,1.9840,-0.050000,-0.114549,-0.076366,1.085451,1.314549,1,11652.50
63,frame_000063.png,2.0160,-0.050000,-0.108411,-0.072274,1.091589,1.308411,1,11642.00
64,frame_000064.png,2.0480,-0.050000,-0.103809,-0.069206,1.096191,1.303809,1,11630.50
65,frame_000065.png,2.0800,-0.056250,-0.123813,-0.082542,1.076187,1.323813,1,11617.50
66,frame_000066.png,2.1120,-0.056250,-0.118173,-0.078782,1.081827,1.318173,1,11615.00
67,frame_000067.png,2.1440,-0.056250,-0.113942,-0.075961,1.086058,1.313942,1,11616.50
68,frame_000068.png,2.1760,-0.056250,-0.110769,-0.073846,1.089231,1.310769,1,11615.00
69,frame_000069.png,2.2080,-0.062500,-0.131846,-0.087898,1.068154,1.331846,1,11613.50
70,frame_000070.png,2.2400,-0.062500,-0.127010,-0.084673,1.072990,1.327010,1,11611.00
71,frame_000071.png,2.2720,-0.062500,-0.123382,-0.082255,1.076618,1.323382,1,11607.50
72,frame_000072.png,2.3040,-0.062500,-0.120662,-0.080441,1.079338,1.320662,1,11601.50
73,frame_000073.png,2.3360,-0.062500,-0.118621,-0.079081,1.081379,1.318621,1,11603.50
74,frame_000074.png,2.3680,-0.068750,-0.140548,-0.093699,1.059452,1.340548,1,11602.50
75,frame_000075.png,2.4000,-0.068750,-0.136348,-0.090899,1.063652,1.336348,1,11590.50
76,frame_000076.png,2.4320,-0.068750,-0.133199,-0.088799,1.066801,1.333199,1,11592.00
77,frame_000077.png,2.4640,-0.068750,-0.130837,-0.087224,1.069163,1.330837,1,11584.50
78,frame_000078.png,2.4960,-0.068750,-0.129065,-0.086043,1.070935,1.329065,1,11584.00
79,frame_000079.png,2.5280,-0.068750,-0.127736,-0.085157,1.072264,1.327736,1,11579.50
80,frame_000080.png,2.5600,-0.068750,-0.126740,-0.084493,1.073260,1.326740,1,11574.00
81,frame_000081.png,2.5920,-0.075000,-0.149449,-0.099633,1.050551,1.349449,1,11577.50
82,frame_000082.png,2.6240,-0.075000,-0.145837,-0.097225,1.054163,1.345837,1,11569.50
83,frame_000083.png,2.6560,-0.075000,-0.143128,-0.095418,1.056872,1.343128,1,11565.50
84,frame_000084.png,2.6880,-0.075000,-0.141096,-0.094064,1.058904,1.341096,1,11577.00
85,frame_000085.png,2.7200,-0.075000,-0.139572,-0.093048,1.060428,1.339572,1,11558.00
86,frame_000086.png,2.7520,-0.075000,-0.138429,-0.092286,1.061571,1.338429,1,11557.50
87,frame_000087.png,2.7840,-0.075000,-0.137572,-0.091714,1.062428,1.337572,1,11556.50
88,frame_000088.png,2.8160,-0.075000,-0.136929,-0.091286,1.063071,1.336929,1,11545.50
89,frame_000089.png,2.8480,-0.075000,-0.136447,-0.090964,1.063553,1.336447,1,11538.50
90,frame_000090.png,2.8800,-0.075000,-0.136085,-0.090723,1.063915,1.336085,1,11533.00
91,frame_000091.png,2.9120,-0.075000,-0.135814,-0.090542,1.064186,1.335814,1,11529.00
92,frame_000092.png,2.9440,-0.075000,-0.135610,-0.090407,1.064390,1.335610,1,11520.00
93,frame_000093.png,2.9760,-0.075000,-0.135458,-0.090305,1.064542,1.335458,1,11522.00
