sample_id,image_filename,simulation_time,normalized_error,steering_correction,steering_target,left_speed,right_speed,line_detected,contour_area
39,frame_000039.png,1.2480,-0.068750,-0.081357,-0.054238,1.118643,1.281357,1,10460.50
40,frame_000040.png,1.2800,-0.068750,-0.091955,-0.061303,1.108045,1.291955,1,10462.00
41,frame_000041.png,1.3120,-0.062500,-0.076447,-0.050965,1.123553,1.276447,1,10463.50
42,frame_000042.png,1.3440,-0.056250,-0.062003,-0.041335,1.137997,1.262003,1,10463.00
43,frame_000043.png,1.3760,-0.056250,-0.071815,-0.047877,1.128185,1.271815,1,10466.00
44,frame_000044.png,1.4080,-0.050000,-0.055717,-0.037144,1.144283,1.255717,1,10468.50
45,frame_000045.png,1.4400,-0.050000,-0.064287,-0.042858,1.135713,1.264287,1,10467.00
46,frame_000046.png,1.4720,-0.043750,-0.047259,-0.031506,1.152741,1.247259,1,10468.50
47,frame_000047.png,1.5040,-0.043750,-0.055131,-0.036754,1.144869,1.255131,1,10468.00
48,frame_000048.png,1.5360,-0.037500,-0.037579,-0.025053,1.162421,1.237579,1,10468.00
49,frame_000049.png,1.5680,-0.037500,-0.045059,-0.030040,1.154941,1.245059,1,10467.00
50,frame_000050.png,1.6000,-0.037500,-0.050669,-0.033780,1.149331,1.250669,1,10469.00
51,frame_000051.png,1.6320,-0.031250,-0.031420,-0.020947,1.168580,1.231420,1,10468.50
52,frame_000052.png,1.6640,-0.031250,-0.037628,-0.025085,1.162372,1.237628,1,10464.00
53,frame_000053.png,1.6960,-0.025000,-0.018826,-0.012551,1.181174,1.218826,1,10464.00
54,frame_000054.png,1.7280,-0.025000,-0.025370,-0.016913,1.174630,1.225370,1,10463.00
55,frame_000055.png,1.7600,-0.025000,-0.030277,-0.020185,1.169723,1.230277,1,10460.50
56,frame_000056.png,1.7920,-0.018750,-0.010501,-0.007001,1.189499,1.210501,1,10458.00
57,frame_000057.png,1.8240,-0.018750,-0.016313,-0.010875,1.183687,1.216313,1,10457.00
58,frame_000058.png,1.8560,-0.018750,-0.020672,-0.013782,1.179328,1.220672,1,10460.00
59,frame_000059.png,1.8880,-0.012500,-0.000485,-0.000323,1.199515,1.200485,1,10452.00
60,frame_000060.png,1.9200,-0.012500,-0.005989,-0.003992,1.194011,1.205989,1,10455.50
61,frame_000061.png,1.9520,-0.012500,-0.010116,-0.006744,1.189884,1.210116,1,10459.50
62,frame_000062.png,1.9840,-0.012500,-0.013212,-0.008808,1.186788,1.213212,1,10466.50
